date,star,like,comment,comment_n
"September 19, 2021",5,9.0,"Updated: Have issues with the app on my Samsung Note 9. Unstable and locks up. That was what my original review was based on however, I installed it on another phone and it works perfectly. I have a Cord Zero Robot so there are usable features on the app and it's convenient. The layout and functions...
Full Review","['updated', 'issue', 'app', 'samsung', 'note', 'unstable', 'lock', 'original', 'review', 'based', 'however', 'installed', 'another', 'phone', 'work', 'perfectly', 'cord', 'zero', 'robot', 'usable', 'feature', 'app', 'convenient', 'layout', 'function', 'full', 'review']"
"September 5, 2021",4,5.0,"App is very useful. My son is starting to play around with remotes so instead of having the remote lay around, I tend to use this app lately. I think what can be improved is not needing to tap into the only remote or LG connected device that you have, it should just be open up front.","['app', 'useful', 'son', 'starting', 'play', 'around', 'remote', 'instead', 'remote', 'lay', 'around', 'tend', 'use', 'app', 'lately', 'think', 'improved', 'needing', 'tap', 'remote', 'lg', 'connected', 'device', 'open', 'front']"
"September 14, 2021",1,1.0,"The power button for AC is located near the top right where you can also access other settings like energy monitoring so you can accidentally press the power button all the time.. Very stupid positioning, its frustrating having to accidentally restart your AC everytime you accidentally tap the power...
Full Review","['power', 'button', 'ac', 'located', 'near', 'top', 'right', 'also', 'access', 'setting', 'like', 'energy', 'monitoring', 'accidentally', 'press', 'power', 'button', 'time', 'stupid', 'positioning', 'frustrating', 'accidentally', 'restart', 'ac', 'everytime', 'accidentally', 'tap', 'power', 'full', 'review']"
"September 11, 2021",5,2.0,"The smart diagnosis is a pretty good feature. It was able to diagnose a problem with the freezer door not completely closed. I still need to verify that this has solved my problem by waiting until the food in the freezer goes back to its frozen state. I'll find out after a few hours (or a little mor...
Full Review","['smart', 'diagnosis', 'pretty', 'good', 'feature', 'able', 'diagnose', 'problem', 'freezer', 'door', 'completely', 'closed', 'still', 'need', 'verify', 'solved', 'problem', 'waiting', 'food', 'freezer', 'go', 'back', 'frozen', 'state', 'find', 'hour', 'little', 'mor', 'full', 'review']"
"September 7, 2021",1,17.0,"I just wasted an hour of my life downloading this app and pairing it to my TV, a long and very frustrating process, only to find out I can only turn it OFF with the app, not ON. What the hell is the point of that? Why would I use the remote to turn it on, and then my phone to turn it off? Yet anothe...
Full Review","['wasted', 'hour', 'life', 'downloading', 'app', 'pairing', 'tv', 'long', 'frustrating', 'process', 'find', 'turn', 'app', 'hell', 'point', 'would', 'use', 'remote', 'turn', 'phone', 'turn', 'yet', 'anothe', 'full', 'review']"
"September 9, 2021",1,1.0,"doesn't worth it, took forever to setup and no additional info is received! asking for an account to sign in and for the full date of birth! after all the pain to setup a fridge I can't even check the inside temperature with this app, you can only diagnose and it said all ok! worthless!!!","['worth', 'took', 'forever', 'setup', 'additional', 'info', 'received', 'asking', 'account', 'sign', 'full', 'date', 'birth', 'pain', 'setup', 'fridge', 'even', 'check', 'inside', 'temperature', 'app', 'diagnose', 'said', 'ok', 'worthless']"
"September 11, 2021",4,17.0,"I never write reviews for anything. This is more of a suggestion for an update. It works good for its purpose. The only thing I think that you should update is, when it's in the notification bar, you have the power button, channel and volume control. I think you should make those buttons a little sm...
Full Review","['never', 'write', 'review', 'anything', 'suggestion', 'update', 'work', 'good', 'purpose', 'thing', 'think', 'update', 'notification', 'bar', 'power', 'button', 'channel', 'volume', 'control', 'think', 'make', 'button', 'little', 'sm', 'full', 'review']"
"September 18, 2021",1,,"It's been more than 2 yrs without any sensed changes !! .. This App wouldn't allows you to turn on the TV , even after allowing it from TV setting, It doesn't turn OFF ! And can't link to Google home !. LG has to do better than that ! I wish I had samsung TV.","['yr', 'without', 'sensed', 'change', 'app', 'allows', 'turn', 'tv', 'even', 'allowing', 'tv', 'setting', 'turn', 'link', 'google', 'home', 'lg', 'better', 'wish', 'samsung', 'tv']"
"September 12, 2021",1,18.0,"Requires location! For absolutely no good reason. Its like the app developers don't understand privacy. By switching on location I give access to Google. I don't want that. Yet I am forced by LG to give Google my location so I can operate my appliance! My appliance doesn't have GPS! And it needs my ...
Full Review","['requires', 'location', 'absolutely', 'good', 'reason', 'like', 'app', 'developer', 'understand', 'privacy', 'switching', 'location', 'give', 'access', 'google', 'want', 'yet', 'forced', 'lg', 'give', 'google', 'location', 'operate', 'appliance', 'appliance', 'gps', 'need', 'full', 'review']"
"September 19, 2021",5,,"The app works well with my devices. Finally works on tablets too. A long awaited update. Now it would be really excellent if it could work with android wear too, like smarthings does. Just hope it won't take as long to implement like the tablet update did. Thanks you Dev team keep up the good work ;...
Full Review","['app', 'work', 'well', 'device', 'finally', 'work', 'tablet', 'long', 'awaited', 'update', 'would', 'really', 'excellent', 'could', 'work', 'android', 'wear', 'like', 'smarthings', 'hope', 'take', 'long', 'implement', 'like', 'tablet', 'update', 'thanks', 'dev', 'team', 'keep', 'good', 'work', 'full', 'review']"
"September 5, 2021",1,18.0,"1. Doesnt turn on my smart TV, unless I do manually. I KEEP AND KEEP TRYING. INSTALLED AND UNISTALLED AND NOTHING. Only allows to turn It off and use the other moves with the exception of turn it on which is the most important one. 2. Does not support Alexa in my country DR. 3. Once it turns up manu...
Full Review","['doesnt', 'turn', 'smart', 'tv', 'unless', 'manually', 'keep', 'keep', 'trying', 'installed', 'unistalled', 'nothing', 'allows', 'turn', 'use', 'move', 'exception', 'turn', 'important', 'one', 'support', 'alexa', 'country', 'dr', 'turn', 'manu', 'full', 'review']"
"September 12, 2021",5,2.0,"I love having my LG appliances, all with the compatibility to 7se this app! Makes life a bit less worrisome to be able to check randomly to see if everything is all good. As well as having notifications to let me know when things aren't all good!","['love', 'lg', 'appliance', 'compatibility', 'se', 'app', 'make', 'life', 'bit', 'le', 'worrisome', 'able', 'check', 'randomly', 'see', 'everything', 'good', 'well', 'notification', 'let', 'know', 'thing', 'good']"
"September 8, 2021",2,2.0,"Doesn't ever sync the actual temperature my AC is set to, so all I ever see is 64 degrees. Completely useless unless I'm in the room to physically read the set temp from the device itself. At least open up the SDK to people if you're not going to put in the time with the app.","['ever', 'sync', 'actual', 'temperature', 'ac', 'set', 'ever', 'see', 'degree', 'completely', 'useless', 'unless', 'room', 'physically', 'read', 'set', 'temp', 'device', 'least', 'open', 'sdk', 'people', 'going', 'put', 'time', 'app']"
"September 11, 2021",1,2.0,"Made the mistake of buying a POS LG washer and get the unbalanced load error all the time even when empty (Google LG washers before you buy one). 2 days after the first error code it began showing multiple codes and just shutting off on its own. Used the app to run diagnostic and it shows everything...
Full Review","['made', 'mistake', 'buying', 'po', 'lg', 'washer', 'get', 'unbalanced', 'load', 'error', 'time', 'even', 'empty', 'google', 'lg', 'washer', 'buy', 'one', 'day', 'first', 'error', 'code', 'began', 'showing', 'multiple', 'code', 'shutting', 'used', 'app', 'run', 'diagnostic', 'show', 'everything', 'full', 'review']"
"September 14, 2021",1,3.0,"Not really useful. This wont work with Google and Alexa. Also no IFTTT integration. Only thing a customer can do is add the product (LG smart washer in my case) in this app and select washing cycles manually. Not really smart in anyway. How could LG sell washing machines in India advertising it is s...
Full Review","['really', 'useful', 'wont', 'work', 'google', 'alexa', 'also', 'ifttt', 'integration', 'thing', 'customer', 'add', 'product', 'lg', 'smart', 'washer', 'case', 'app', 'select', 'washing', 'cycle', 'manually', 'really', 'smart', 'anyway', 'could', 'lg', 'sell', 'washing', 'machine', 'india', 'advertising', 'full', 'review']"
"September 4, 2021",2,11.0,Would like to have seen more features for a dishwasher. Like to initiate a cycle from the phone. The wifi on a dishwasher is wasteful if all you can do is only monitors the cycle. It would be great if you could close the door. Select cycle and other settings then start all on the phone.,"['would', 'like', 'seen', 'feature', 'dishwasher', 'like', 'initiate', 'cycle', 'phone', 'wifi', 'dishwasher', 'wasteful', 'monitor', 'cycle', 'would', 'great', 'could', 'close', 'door', 'select', 'cycle', 'setting', 'start', 'phone']"
"September 8, 2021",2,,"Disappointing as a formal app. Doesn't have shortcuts (long pressing on a number), The phone casting feature, once enabled, wouldn't disabled (only can disconnect TV), In general I like simplicity but this pannel is too simple, lacking of essential features.","['disappointing', 'formal', 'app', 'shortcut', 'long', 'pressing', 'number', 'phone', 'casting', 'feature', 'enabled', 'disabled', 'disconnect', 'tv', 'general', 'like', 'simplicity', 'pannel', 'simple', 'lacking', 'essential', 'feature']"
"September 11, 2021",1,,"This is a utility app to control devices that you've purchased, and it does fairly well in that regard. However, after spending nearly $4,000 between my washer, dryer, and television, seeing advertisements in this app is extremely distasteful.","['utility', 'app', 'control', 'device', 'purchased', 'fairly', 'well', 'regard', 'however', 'spending', 'nearly', 'washer', 'dryer', 'television', 'seeing', 'advertisement', 'app', 'extremely', 'distasteful']"
"September 5, 2021",2,9.0,"Won't connect to Google Home. It used to work, but ever since LG updated their operating system it simply will not work with Google Home. The LG app works like it should, but even though I've reconnected the service to Google multiple times it will not turn the TV on or off.","['connect', 'google', 'home', 'used', 'work', 'ever', 'since', 'lg', 'updated', 'operating', 'system', 'simply', 'work', 'google', 'home', 'lg', 'app', 'work', 'like', 'even', 'though', 'reconnected', 'service', 'google', 'multiple', 'time', 'turn', 'tv']"
"September 16, 2021",1,21.0,"App was working just fine a little over a week ago. Now, nothing. App won't link/register my TV. The app sees my TV's ""name"" but will not connect. The Q-Scanner is worthless, having once worked but is now DOA as well. No changes in my phone's security settings or otherwise. This app is just DOA. Was...
Full Review","['app', 'working', 'fine', 'little', 'week', 'ago', 'nothing', 'app', 'link', 'register', 'tv', 'app', 'see', 'tv', 'name', 'connect', 'q', 'scanner', 'worthless', 'worked', 'doa', 'well', 'change', 'phone', 'security', 'setting', 'otherwise', 'app', 'doa', 'full', 'review']"
"September 6, 2021",1,3.0,"App replaced the TV remote app LG used to have, doesn't even replicate basic features of the old app, is rife with ads. If you have the old app, keep it. If you have a brand new LG TV, return it. I wouldn't have bought my TV had I known they'd replace the old, better app with this piece of garbage.","['app', 'replaced', 'tv', 'remote', 'app', 'lg', 'used', 'even', 'replicate', 'basic', 'feature', 'old', 'app', 'rife', 'ad', 'old', 'app', 'keep', 'brand', 'new', 'lg', 'tv', 'return', 'bought', 'tv', 'known', 'replace', 'old', 'better', 'app', 'piece', 'garbage']"
"September 16, 2021",1,,"App will not pair my TV no matter what I do, was on customer service phone call for one hour. It only paired my washing machine. They should not have an app that claims to pair devices with Wi-Fi but does not work, big waste of time.","['app', 'pair', 'tv', 'matter', 'customer', 'service', 'phone', 'call', 'one', 'hour', 'paired', 'washing', 'machine', 'app', 'claim', 'pair', 'device', 'wi', 'fi', 'work', 'big', 'waste', 'time']"
"September 18, 2021",3,,It works to turn my Ac unit on and off at a certain hour but I have to manually set the temperature. The app needs the ability to set different temps at different hours like at 10am go to 72 and at 2 pm cool to 68. Then at 6pm cool to 74 and so on. Needs some more programming abilities.,"['work', 'turn', 'ac', 'unit', 'certain', 'hour', 'manually', 'set', 'temperature', 'app', 'need', 'ability', 'set', 'different', 'temp', 'different', 'hour', 'like', 'go', 'pm', 'cool', 'pm', 'cool', 'need', 'programming', 'ability']"
"September 18, 2021",1,,"Doesn't connect to my LG 65UH603V. Tried everything available online but my TV just doesn't appear on the list! Strange thing is that casting works perfectly well from my phone but when I want to use my phone as remote, nor LG TV PLUS works nor THINQ. Very disappointing!","['connect', 'lg', 'uh', 'v', 'tried', 'everything', 'available', 'online', 'tv', 'appear', 'list', 'strange', 'thing', 'casting', 'work', 'perfectly', 'well', 'phone', 'want', 'use', 'phone', 'remote', 'lg', 'tv', 'plus', 'work', 'thinq', 'disappointing']"
"September 18, 2021",1,,"Bad experience so far, I can't change the language setting which defaults to English. Then when I go to my actual information it shows up in French. This is totally useless and a big no-go!","['bad', 'experience', 'far', 'change', 'language', 'setting', 'default', 'english', 'go', 'actual', 'information', 'show', 'french', 'totally', 'useless', 'big', 'go']"
"September 13, 2021",2,1.0,"Edit: PLEASE stop asking me to register. No matter how may times you close the prompt or hit ""do not register"" it pops up EVERY SINGLE TIME and to top it off there's a delay. So when you try and quickly hit an action IT MOVES.","['edit', 'please', 'stop', 'asking', 'register', 'matter', 'may', 'time', 'close', 'prompt', 'hit', 'register', 'pop', 'every', 'single', 'time', 'top', 'delay', 'try', 'quickly', 'hit', 'action', 'move']"
"September 12, 2021",1,1.0,"Samsung Galaxy s20 FE my TV is a UN7300AUD This thing will not work at all. I can't connect my device no matter how many times I enter the pin or hold my device up close to the screen. And when it foes connect the TV won't show on my phone Both my devices are on the same network. Everything worked j...
Full Review","['samsung', 'galaxy', 'fe', 'tv', 'un', 'aud', 'thing', 'work', 'connect', 'device', 'matter', 'many', 'time', 'enter', 'pin', 'hold', 'device', 'close', 'screen', 'foe', 'connect', 'tv', 'show', 'phone', 'device', 'network', 'everything', 'worked', 'j', 'full', 'review']"
"September 9, 2021",5,1.0,Left a 1 star review before because my phone wouldn't mirror anymore. Thought us was their TV but replaced my cable modem and it's fixed. 5 stars now. I have an LG G1 65 inch. Best TV ei have ever owned. Awesome app integration.,"['left', 'star', 'review', 'phone', 'mirror', 'anymore', 'thought', 'u', 'tv', 'replaced', 'cable', 'modem', 'fixed', 'star', 'lg', 'g', 'inch', 'best', 'tv', 'ei', 'ever', 'owned', 'awesome', 'app', 'integration']"
"September 9, 2021",2,,"Schedule feature is lacking. I do like the ability to shut the device on and off when I'm away. However, like most thermostats, I can't schedule different temperatures throughout the day.","['schedule', 'feature', 'lacking', 'like', 'ability', 'shut', 'device', 'away', 'however', 'like', 'thermostat', 'schedule', 'different', 'temperature', 'throughout', 'day']"
"September 18, 2021",1,,"I already did what you told to people about the agreement , but I can't open it with my tv which impossible for me to connect this app to my tv. Your new idea or transformation about this app should make it easier for people to use not to make it harder","['already', 'told', 'people', 'agreement', 'open', 'tv', 'impossible', 'connect', 'app', 'tv', 'new', 'idea', 'transformation', 'app', 'make', 'easier', 'people', 'use', 'make', 'harder']"
"September 16, 2021",2,,"Frustration. I connected the app with my washer/dryer combo with some difficulty. However, the downloadable cycles are a huge disappointment. ""Duvet"" programme runs on cold which is an absolute nonsence. Is it possible to add temperature controls to certain programmes? It would be most helpful.","['frustration', 'connected', 'app', 'washer', 'dryer', 'combo', 'difficulty', 'however', 'downloadable', 'cycle', 'huge', 'disappointment', 'duvet', 'programme', 'run', 'cold', 'absolute', 'nonsence', 'possible', 'add', 'temperature', 'control', 'certain', 'programme', 'would', 'helpful']"
"September 7, 2021",1,2.0,"lg tv will no longer connect to Alexa app despite re-setup as before. It is an issue on LGs end, not the Alexa app, as Alexa is able to discover other non-LG devices. Seems like many others are having this issue recently.","['lg', 'tv', 'longer', 'connect', 'alexa', 'app', 'despite', 'setup', 'issue', 'lgs', 'end', 'alexa', 'app', 'alexa', 'able', 'discover', 'non', 'lg', 'device', 'seems', 'like', 'many', 'others', 'issue', 'recently']"
"September 19, 2021",5,,"Late last night the batteries of my remote died, didn't no idea what to do, explored a little bit and came across this application. Loved it. I am using it more than the remote now 😅","['late', 'last', 'night', 'battery', 'remote', 'died', 'idea', 'explored', 'little', 'bit', 'came', 'across', 'application', 'loved', 'using', 'remote']"
"September 10, 2021",1,2.0,"Great for a little while with my TV, now it's stopped working completely so I may as well get rid of the app - I wish I'd kept the old one now. With this one I've tried uninstalling and downloading it again to no avail, fun while it lasted.","['great', 'little', 'tv', 'stopped', 'working', 'completely', 'may', 'well', 'get', 'rid', 'app', 'wish', 'kept', 'old', 'one', 'one', 'tried', 'uninstalling', 'downloading', 'avail', 'fun', 'lasted']"
"September 11, 2021",1,,"Was great at one point, now it won't allow A connection to a 5G network like my router and phone. What a huge disappointment!! Anyone having similar issues?? Can this be resolved please?","['great', 'one', 'point', 'allow', 'connection', 'g', 'network', 'like', 'router', 'phone', 'huge', 'disappointment', 'anyone', 'similar', 'issue', 'resolved', 'please']"
"September 18, 2021",5,,"1. Indoor temperature in remote is 31°c but in app indoor temperature is 27°c,set temp is 27°c how ? And ac is assuming room temp reached 27 and not running 2.Most of the time works best .but sometimes air conditioner wifi can't reconnect to network after power failure. It would help a lot if you ad...
Full Review","['indoor', 'temperature', 'remote', 'c', 'app', 'indoor', 'temperature', 'c', 'set', 'temp', 'c', 'ac', 'assuming', 'room', 'temp', 'reached', 'running', 'time', 'work', 'best', 'sometimes', 'air', 'conditioner', 'wifi', 'reconnect', 'network', 'power', 'failure', 'would', 'help', 'lot', 'ad', 'full', 'review']"
"September 6, 2021",1,4.0,"Failed to connect to my AC. No matter how many times you try , whatever you do, the app throws Failed to connect error. I gave up after trying for 2 days. Feeling like wasted money in buying WiFi AC which infact isn't working at all","['failed', 'connect', 'ac', 'matter', 'many', 'time', 'try', 'whatever', 'app', 'throw', 'failed', 'connect', 'error', 'gave', 'trying', 'day', 'feeling', 'like', 'wasted', 'money', 'buying', 'wifi', 'ac', 'infact', 'working']"
"September 17, 2021",1,,Worked great for awhile - now I have to keep connecting my WiFi to both washer and dryer almost daily now. Since they are in the basement I loved getting the notifications that cycle was complete but it will even disconnect that day,"['worked', 'great', 'awhile', 'keep', 'connecting', 'wifi', 'washer', 'dryer', 'almost', 'daily', 'since', 'basement', 'loved', 'getting', 'notification', 'cycle', 'complete', 'even', 'disconnect', 'day']"
"September 19, 2021",2,,Still not reliable. Never know whether the devices will respond or not. Besides that the biggest negative aspect is unavailability of integration with Amazon Alexa within European countries.,"['still', 'reliable', 'never', 'know', 'whether', 'device', 'respond', 'besides', 'biggest', 'negative', 'aspect', 'unavailability', 'integration', 'amazon', 'alexa', 'within', 'european', 'country']"
"September 3, 2021",1,2.0,It can't even recognize if tv is on or off. Full of bugs. it is a shame for LG to publish such an app. I won't even think about LG products anymore. LG doesn't care about customers in any product. Zero star,"['even', 'recognize', 'tv', 'full', 'bug', 'shame', 'lg', 'publish', 'app', 'even', 'think', 'lg', 'product', 'anymore', 'lg', 'care', 'customer', 'product', 'zero', 'star']"
"September 3, 2021",5,1.0,Quite surprised this app is well executed. I have Blueair air purfier is quite laggy to send commands to the device. For this LG app any command executiom is almost immediate. One downside is the lack of advanced features to customise i guess is more targeted towards simplfied end user experience,"['quite', 'surprised', 'app', 'well', 'executed', 'blueair', 'air', 'purfier', 'quite', 'laggy', 'send', 'command', 'device', 'lg', 'app', 'command', 'executiom', 'almost', 'immediate', 'one', 'downside', 'lack', 'advanced', 'feature', 'customise', 'guess', 'targeted', 'towards', 'simplfied', 'end', 'user', 'experience']"
"September 20, 2021",5,,Nice apps. Nice AC. Mine is LA080EC and LA150EC. Really saves a lot. A freedom from electric co.,"['nice', 'apps', 'nice', 'ac', 'mine', 'la', 'ec', 'la', 'ec', 'really', 'save', 'lot', 'freedom', 'electric', 'co']"
"September 20, 2021",1,,"This app doesn't work. I can't cast to my tv anymore, can't screen share anything anymore. Why even bother creating an app if isn't going to work. Fail.","['app', 'work', 'cast', 'tv', 'anymore', 'screen', 'share', 'anything', 'anymore', 'even', 'bother', 'creating', 'app', 'going', 'work', 'fail']"
"September 12, 2021",1,1.0,"The app can't run on my TV Box, it says 'Cannot run on a rooted device' however, I didn't root it. If it can't detect rooting correctly, then remove that check.","['app', 'run', 'tv', 'box', 'say', 'run', 'rooted', 'device', 'however', 'root', 'detect', 'rooting', 'correctly', 'remove', 'check']"
"September 3, 2021",1,1.0,"What a disaster. You can't read the touchpad on the appliance as it's not lit, the app gives no indication that it's waiting for user input, and then to top it off there's nothing in the printed owner's manual.","['disaster', 'read', 'touchpad', 'appliance', 'lit', 'app', 'give', 'indication', 'waiting', 'user', 'input', 'top', 'nothing', 'printed', 'owner', 'manual']"
"September 9, 2021",4,1.0,great app but it seems like it should be able to turn on the washer and dryer too...I know I forget my wash and need to do a quick cycle to get the overnight funk out.,"['great', 'app', 'seems', 'like', 'able', 'turn', 'washer', 'dryer', 'know', 'forget', 'wash', 'need', 'quick', 'cycle', 'get', 'overnight', 'funk']"
"September 11, 2021",4,1.0,No indicators of what the appliance's capabilities thru app. You don't find out until you connect app to each appliance whether it has full app capability or is too old and featureless.,"['indicator', 'appliance', 'capability', 'thru', 'app', 'find', 'connect', 'app', 'appliance', 'whether', 'full', 'app', 'capability', 'old', 'featureless']"
"September 16, 2021",2,,"Doesn't actually work through Google Home, just creates a loop of logging in and failing, but works as a remote, so there's that.","['actually', 'work', 'google', 'home', 'creates', 'loop', 'logging', 'failing', 'work', 'remote']"
"September 5, 2021",1,,"I have an lg account which I have no problem logging on pc. When I tried the same id on this app, it says ""This is a Facebook signed up account. ..."" Please tell me how to fix this.","['lg', 'account', 'problem', 'logging', 'pc', 'tried', 'id', 'app', 'say', 'facebook', 'signed', 'account', 'please', 'tell', 'fix']"
"September 9, 2021",1,,My TV no longer connects to the new LG apps and there seems to be no legacy app available. I am not buying a new TV just so the app works to connect my phone to the TV.,"['tv', 'longer', 'connects', 'new', 'lg', 'apps', 'seems', 'legacy', 'app', 'available', 'buying', 'new', 'tv', 'app', 'work', 'connect', 'phone', 'tv']"
"September 4, 2021",5,,"It's a handy little app, especially if you have multiple LG devices. I love that my TV can tell me when my washer/dryer is done with a cycle and such :)","['handy', 'little', 'app', 'especially', 'multiple', 'lg', 'device', 'love', 'tv', 'tell', 'washer', 'dryer', 'done', 'cycle']"
"September 7, 2021",5,1.0,"A nice design app and refrigerator. A lot of space optimization and light, much better than Samsung. It could be better if add current temperature of refrigerator and freeze on app.","['nice', 'design', 'app', 'refrigerator', 'lot', 'space', 'optimization', 'light', 'much', 'better', 'samsung', 'could', 'better', 'add', 'current', 'temperature', 'refrigerator', 'freeze', 'app']"
"September 11, 2021",2,,"Would be nice as backup remote but often cannot detect the TV or maintain a reliable connection to it, which makes this app mostly useless.","['would', 'nice', 'backup', 'remote', 'often', 'detect', 'tv', 'maintain', 'reliable', 'connection', 'make', 'app', 'mostly', 'useless']"
"September 8, 2021",3,,Schedule is limited. Why would a schedule be limited to only on/off for an air conditioner? Shouldn't it include temperature settings at different times? Disappointed! It is handy but really?,"['schedule', 'limited', 'would', 'schedule', 'limited', 'air', 'conditioner', 'include', 'temperature', 'setting', 'different', 'time', 'disappointed', 'handy', 'really']"
"September 19, 2021",4,,"This is a nifty application but I would like to see a setting for only notifying problems, like the load being unbalanced or the appliance catching fire","['nifty', 'application', 'would', 'like', 'see', 'setting', 'notifying', 'problem', 'like', 'load', 'unbalanced', 'appliance', 'catching', 'fire']"
"September 3, 2021",1,1.0,"Me 2 months ago: installs and uses the LG ThinQ app on tablet. LG today: here's an update, you can now install and use the LG ThinQ app on tablets. Whaaaaaaa? This app is very annoying, loves to provide notifications.","['month', 'ago', 'installs', 'us', 'lg', 'thinq', 'app', 'tablet', 'lg', 'today', 'update', 'install', 'use', 'lg', 'thinq', 'app', 'tablet', 'whaaaaaaa', 'app', 'annoying', 'love', 'provide', 'notification']"
