date,star,like,comment
"August 31, 2021",1,6.0,"Well done for disconnecting my mobile. The smart Things app worked fine last night until you did update, now it worn connect to my samsung s21 ultra to my nice new Q80a TV. Well done. I've tried everything to re connect the two. Now the smartThings app will not find the tv at all. Why do you do so m...
Full Review"
"September 1, 2021",2,3.0,"Voice TV commands are of little use. I can't switch apps, can't search for the content, can't play videos. All of these are a must have to have a useful experience with SmartThings for TV. I accidentally bought an online model (AUE60 in India) which doesn't come with voice support. So, this app (usi...
Full Review"
"September 11, 2021",5,1.0,"Love this app! Makes tracking and connecting to my various Bluetooth devices so much easier. Only wish I could name/rename devices as they appear listed, as I have several of the same for various locations and they all list with same name is. Car, office, home etc."
"September 7, 2021",2,49.0,"I loved Family Hub, but the new update/ change to SmartThings is awful. The shopping list always defaults to opening the first list you created, you can no longer change the category of items on your list, and you can no longer cross items off your list without permanently deleting them (which stink...
Full Review"
"September 6, 2021",1,21.0,"Previous versions offered more functionality and flexibility. The shopping list interface is pure garbage compared to what it once offered. They also removed the simple crossout function. Now I have to select every item an delete it manually while I'm shopping instesd of simply tapping it to cross i...
Full Review"
"September 12, 2021",1,,"I can no longer add my washing machine to the smarthings app, changing wifi on the washer is a nightmare. Anytime I get frustrated and spend 2 hours trying to figure out an app, there is something completely wrong. There isn't a washer icon on the list of devices and the Qr code isn't working when I...
Full Review"
"September 13, 2021",1,,"My TV is barely a year old and the app no longer supports it. Sounds like planned obsolescence. I wish I had bought the LG instead. The LG app still controls my 3 year old washer/dryer and 2 year old fridge. Contacted customer service as suggested. ""We're sorry. Your device is not supported"". 🙄"
"September 16, 2021",5,1.0,Great app. I pair it with my tv. I am often use this remote. But what I notice is. The remote color is to bright at night. So. I would like to request for you guys to make it black. Or make it optional for user either they prefer bright or dark mode
"September 14, 2021",1,,"worked great until recent upgrade now can't connect my samsung s4 tablet to my TV anymore (sony tv or toshiba). set everything up, press the mirror screen, then start now and it bounces back to the first screen. sucks, because i used this to stream tv aps all the time. Can I downgrade the app?"
"September 13, 2021",1,47.0,"One more Samsung mistake. Don't buy their smart stuff. Won't even sign in most the time and glitchy. This is a horrible app and an even worse fridge. Now they won't allow the hub app, which was terrible but this won't connect to my fridge half the time either and is worse than useless. I magnetic wh...
Full Review"
"September 12, 2021",1,,The shopping list no longer works property with the newest update. I can't retrieve it from my phone at all any more... it just gets stock on the loading screen. Had to go back to pencil and paper to do my weekly shopping.
"August 29, 2021",1,9.0,"Everything used to be great...BUT... now none of my smartthings or compatible devices shows up. The app keeps stating that I have left smartthings. I now have a home full of smart devices that have been rendered dumb, no automations (that took considerable time to configure), and an app that says I ...
Full Review"
"September 4, 2021",2,3.0,"I like the idea of having one app instead of many. However the new app has a mediocre design and missing capabilities from the Family hub. That is not acceptable. It takes me 5 clicks on the app which includes a webpage click to consent and sign into my Samsung account everytime to get to my shoppin...
Full Review"
"September 19, 2021",1,,I use to like to use screen mirror from my phone to my tv. I can be showing off my pictures and having YouTube or a film on at the same time. Bit now for some odd reason it ain't allow me to do so due to some type of settings I can figure out nor change.
"September 4, 2021",3,1.0,"Down graded from 5 stars after latest update. Software worked flawlessly prior to update but now turns most of my connected Lutron dimmers on at 100% through my automations when I have them set to lower values. Worse yet is the fact the app states they're at the desired dim setting but they are not....
Full Review"
"September 11, 2021",1,28.0,"This is the worst app. The remote control is the only feature I want and it's not user friendly at all. I don't want a stupid 4d remote just a straightforward easy to use remote that matches the remote it came with. Fix this please. For days I couldn't even control the tv because it was grayed out a...
Full Review"
"September 13, 2021",1,2.0,"Hi, since I change my phone from s9 to s21 ultra, smartthings has been given me problems. Anytime I try to mirror my new phone it works for 2min then it stopped working and give a message that the app is unstable. I have tried to Uninstall and reinstall. I clear cache. I delete the entire app, still...
Full Review"
"September 18, 2021",5,,"Love the app, been with Samsung for years and when I try this app love it that I can add more devices and how the remote control works since my Samsung TV remote got damage I love to use my phone either to share screen or use it as control, never had any issues with it.."
"September 12, 2021",1,3.0,"It's more effort to use this app and find things that you lost than just looking around. The UI sucks and is incredibly unintuitive. If Samsung wants to compete against Apple, they need to do a much better job with this app. I have no idea how this has a rating of 4.3, seems scuffed. This app sucks."
"September 3, 2021",1,3.0,"Never going to get to try it apparently, Samsung is an incompetent company who lie to you when you purchase and could care less if you are satisfied. When you tell someone a delivery date at checkout it should at least be possible. Finding out it was never going to happen the day it's supposed to be...
Full Review"
"August 29, 2021",4,5.0,"Disappointing. This latest update (Jan 2021) has disrupted and disconnected automations in the app. For the last 4 days nothing works as it should. Been a promoter of ST since dumping Wink 1.5 years ago. But in one swipe, Samsung pissed me off and with no support help or apparent intention to fix (""...
Full Review"
"August 25, 2021",4,3.0,"This program is definitely very strong and rich in functions and it is indispensable for Samsung smart devices but it also has serious flaws. It should have a fully functional keyboard except the number pad and integration with third-party applications and smart device platforms should work smoother...
Full Review"
"August 31, 2021",1,2.0,"Was working great untill the latest update was installed, now my TV has been deleted from the app. Tried to add it again but it will not let me add it to my devices. Very annoying!! Samsung TV and a Samsung phone, not sure why they wouldn't be able to connect to eachother anymore...."
"September 7, 2021",3,2.0,"Since the update on 23/08/2021 I can't seem to connect my Samsung tv new version to my smart things app and will not connect to my alexa echo dot, was working fine before the update and for some reason will not work after removing device and trying to add back on the smart things app or on my Alexa ...
Full Review"
"September 4, 2021",5,12.0,"This app was working like a dream on all devices, monitoring Gas & Electricity then it just stopped working giving the error message. Can't connect to smart energy controller. With no way of reporting it to Samsung. Very disappointing. I am glad to say the smart people over at Samsung Have fixed it ...
Full Review"
"September 1, 2021",1,40.0,"Don't purchase SmartThings hardware! Aeotec now makes the hardware (rebranded) which is good, however not fully supported. Example the Aeotec Cam 360 sold as a SmartThings Camera is only supported for 20 seconds clips which you only find out after subscribing to SmartThings Premium cloud storage eve...
Full Review"
"September 3, 2021",1,2.0,"I hate everything about this app. I bought the fridge specifically because of the Family Hub shopping list. Now it's useless. It NEVER has all the items in the app that was entered on the fridge, and that's if the list will even open. Family Hub was a billion times better."
"September 9, 2021",1,3.0,"No easy way to find the shopping list from my fridge. Fridge and stove are showing offline in the app but they are online. Update: ended up having to delete appliances and re-add. Worked for a while then after recent redesign, everything stopped again. Wouldn't recommend this or Samsung appliances."
"September 12, 2021",3,,"Three stars! Definitely, my feedback should be three stars when I realized I cannot install this app on a Samsung A12 Nacho device, but without any hassle installed it on a Xiaomi / Pocophone device. Very good joke! I have created a support request no. 1253862 to added it"
"August 28, 2021",2,4.0,This app stops working intermittently every now and then. I'm able to connect to the Samsung smart TV but the screen mirroring does not work anymore. It was working just one day before. Testing is not done properly. I need some resolution for this.
"September 5, 2021",3,1.0,Been using the app to control the Samsung TV but seems something changed again. All controls were working but now the middle square no longer accept single taps like it used to. Used to be able to swipe on the middle square but it no longer respond now.
"September 11, 2021",1,1.0,Extremely difficult transition; substandard instructions; loads of useful features of the Family Hub appear to be lost. Frustrating in the extreme. Forced into templates that are not wanted. Wish I'd never uodated.
"September 10, 2021",1,1.0,"Terrible dev work. Can't link Google assistant for months. Samsung does not let you delete your own account to resolve bugs from devs. Customer service sends you to Google when you clearly demonstrate that the bugs are from Samsung side. _______Update______ After 2 years the same issue persists. Noo...
Full Review"
"September 6, 2021",2,1.0,It was nice having my phone as a backup TV remote but for some reason I now can't connect to my Samsung TV to connect it to the app. Very frustrating I'm like at least 2 hours into trying to get this to work...
"September 17, 2021",1,,"As of today, Bluetooth audio won't connect anymore even though calls work just fine via Bluetooth. Won't even pop up in the notification bar that it is managing the audio output (this device or connected device) anymore."
"September 5, 2021",1,2.0,"14 Sep 2021: Just bought this TV. I attempt to sign in with my Google account but all it does is take me back to the Samsung login page after attempting to login as if nothing was done and then refuses to allow me to reattempt signing in. I refreshed the page and it doesn't help, only requiring me t...
Full Review"
"September 7, 2021",4,,"Good enough. Would be better if the app had keyboard as well. Also, the location of the volume slider is not ergonomically correct, I think. It would be more intuitive if the volume slider was closer to the bottom side of the UI, below the 4D Pad."
"September 12, 2021",1,1.0,"This latest update to the family Hub is usless. Every time i click on the app it tells me to download smartthings. My samsung phone already has this. If i click ok it goes back to the homepage. If i click dowload it brings up the smartthings app with the option. I click on open and tben it does not ...
Full Review"
"August 30, 2021",1,2.0,Recently bought the fridge. Only thing the app is good for is view inside and temperature control. I can't even get to the shopping list. It requires some ither service which doesn't work. Even sending photos to hub doesn't work sometimes. Please fix and add some useful apps to the hub.
"September 11, 2021",1,1.0,"So the app was working just fine when I first downloaded it, but then an update came and now I can't even connect to the tv. TV has a working wifi and 5G signal and the app still says that the tv is off-line (while the tv is on)"
"August 28, 2021",1,2.0,The app can only be used when logged into a Samsung account. A couple of months ago the app automatically logged me off and now I can no longer log in and therefore can not use the app. I have been in contact via email but have not heard anything in more than a month. Very disappointing.
"September 7, 2021",5,1.0,"It is easy to use and perfect in connecting my galaxy phone with my Samsung TV quickly. But it doesn't support the type of my air conditioner so, I think it needs more support. Thanks ! 🤍"
"September 11, 2021",1,1.0,This was a poor upgrade. Security and Family Hub don't work well at all. The previous version of SmartThings and the now defunct Family Hub were much better functionality and easier to use. This latest version turned SmartThings into DumbThings.
"September 3, 2021",2,,"Using this app to configure my HW-Q950a soundbar. Initial set up is fine, but subsequent connections fail. I have to delete and add the device to get it to work again. Not enough configuration options either. I should just buy another soundbar, because you can't use another app."
"August 29, 2021",1,2.0,"Very disappointed that I can no longer just upload my photos to my Family Hub. Recipes, no longer there & home screen totally sucks now. Never understood why so called improvements degrade everything! Do we now need to delete Family Hub app & reload? Shouldn't have to insert a thumb drive to upload ...
Full Review"
"September 19, 2021",1,,"Since the useless update, my fridge is connected to the internet but not ""the server"". I can't use any of the apps on it, it says the date is January 5th and 4 hours behind, and I can't access anything from my phone. Used to love this fridge but now I want a refund."
"August 28, 2021",1,2.0,"""Smart"" things aren't really smart! I'm using Samsung phone and I can't connect to Samsung TV! It can Not be more complicated! In the list of supported devices Samsung doesn't have Samsung TV! The model of TV begins with UN65JU and it's not listed! What a joke of an app!"
"September 14, 2021",5,,"Nice and handy. Does facilitate a lot of tasks. By facilitating means also saving time. Eg such as instead of setting up some processes all the time, now it's within one click once passed the initial setup. Great 👍 👌 👍"
"September 1, 2021",1,3.0,"What the hell??? My lists are gone! I had a very organized complied list system going and they are gone! Said it was going to ""migrate"" over. NOPE it didn't. Smartthings looks terrible. Why mess up something that works with Family Hub? Samsung, I'd like my lists back please"
"September 19, 2021",5,,When you have a smartphone & a Smart TV - IT'S VERY HELPFUL - I'VE HAD TO USE THIS APP SEVERAL TIMES BECAUSE WHEN MY TV IS TURNED ON - I'VE HAD SEVERAL DAYS THAT IT DID NOT HAVE ANY SOUND! This app was able to help get the sound back on my Smart TV .
"September 6, 2021",4,,"Love that I can play tv sound to my phone! But sometimes ""play sound to phone"" just doesn't come up. I used to fix it by force say stopping the app, but even that isn't working now. It's inconsistent."
"September 1, 2021",1,1.0,"20 bucks or more a pop for these stupid finders and they cannot even find the phone when you need it to work. I guess samsung wants me to buy another finder to stick to my 1st phone like an @hol& and another phone or tablet to to find the 1st. BRILLIANT!!!!! In what way is this an improvement on the...
Full Review"
"September 7, 2021",1,2.0,"So difficult to set up, clumsy app to navigate. I much preferred the previous app used for my fridge etc. for it's ease of use. I struggle to find the Shopping List, I do not like this at all."
"September 10, 2021",1,1.0,"zFold 3 not supported/issues. Works, but smarttag is not connecting, frustrating when I reset and uninstalled. Nothing is working. Even cleared th Cache/data. New phone should be amazing, but not when its not compatible!"
"August 27, 2021",1,2.0,"Completely useless... Can hardly believe a company like samsung would release such a shite app. Will not allow use of a VPN when connecting to your TV which renders the whole thing pretty much useless. I'm going to have to buy another chromecast now so i dont need to keep stealing it from the lounge...
Full Review"
"September 12, 2021",1,,Terrible. None of the automations work on my outdoor lights. I have tried several different times to correct this. I guess I'll be buying a different system.
"August 31, 2021",1,1.0,This app and the whole Smartthings Hub is unreliable. The system says lights are on when they're off and constantly says the hub is offline when in fact it is still online. Notifications are horrible as well. Time to dump this POS system and move to a more reliable system.
"September 1, 2021",3,,"Love samsung but recently having issues connecting to my smart TV series 7 such a shame as I keep telling everyone how great Samsung is but when things like this happen it puts them off getting anything Samsung. After a full uninstall and reinstall 9f smartthings managed to reconnect to my TV just h...
Full Review"
"September 15, 2021",1,,"I won't ever, under any circumstances, connect my TV to the internet, but unfortunately this requires it rather than using Bluetooth or another kind of connection."
"September 17, 2021",1,,App used to work with SmartThings camera without an issue. Since update whenever you click to view live or recorded clips the app simply closes. Absolutely useless now and took the camera with it.
"September 2, 2021",1,1.0,No need to fix what was not broken. Family Hub was light years better. I can no longer add photos which was my favorite feature. New configuration looks outdated and is more clunky to use.
"September 9, 2021",1,1.0,Terrible replacement for Family Hub! 1 - can't move items directly from your shopping list to the refrigerator 2 - can't rename the system shopping list 3 - can't easily display all shopping list 4 - can't view food list from main page That's all!
"August 27, 2021",1,7.0,"This is the most unstable app ever, stay away. I wanted to set my alarm tonight only to find out ALL my devices, automations and settings has been lost. Samsung also has no backup options. I have to redo everthing now. Thank you smarthings for complicating my life..."
"August 26, 2021",2,4.0,"They recently ""upgraded"" the app and did away with family hub. Now one of the most important apps on my fridge, the grocery list, goes through another app called whisk and just spins. I wasn't able to add to my app but I lost my most used feature"
"September 2, 2021",1,4.0,I did as suggested uninstalled & reinstalled no difference. I've just updated it again & when I go to use it the app says it needs to download an update to use it so what did I just do through the play store? Still rubbish it's just a charged battery consuming app 0 stars now.
"September 12, 2021",1,,Pathetic and compliacted app Trying for days to connect my TV 43N5470 via the wifi and the app .. it's awful .. most of the apps by samsung are either too slow or so complicated ... Add this add that ... Not worth ... Tried everything no solution can't comnect
"August 30, 2021",2,,"Very frustrating app, since the latest update. I use it to monitor energy use, previously it worked fine but now it won't display the data. I will persevere in the hope that the next update fixes it."
"August 29, 2021",2,,"The shopping list does not communicate with phone and the frig. I've restarted frig, phone many times, I've Uninstalled and reinstalled app on phone several times. Everything works, but the shopping list works sometimes and not at times. Family Hub never had these issues"
"September 16, 2021",2,,Used to be great. Before the update. Now almost useless. Cannot even sync the clock on our stove from here. Shopping list is a hit or miss.
"August 31, 2021",1,1.0,"Rubbish, rubbish, rubbish, rubbish. I wish negative 100 stars would be given, that's how frustrated I am. Connected to my home thermostat and now it is stuck on heat even though settings are for cool as it is 96 degrees outside. ARE YOU KIDDING ME?????"
"September 19, 2021",1,3.0,Can't connect to my Samsung AC unit. Get an error code 05-300. I have to resort to the older app Smart Home to control AC remotely. Now I see that Smart Home will be disabled in January and no way to remotely control AC.
"September 17, 2021",1,,"Not that smart.... my lights are compatible with google and alexa and smartthings, but only work with alexa and google... smartthings cant even find it.... its using the smartlife app but its not working as it should only in this app"
"August 27, 2021",1,,This app absolutely SUCKS. It crashes ALL the time. I've been using it and when it crashes you have to rebuild your devices. If you're using it with Alexa your really screwed and lately Alexa is slooow. These guys are in over their head
"September 5, 2021",1,,"This was a forced ""upgrade"" from the Family Hub app for our fridge. Much worse and can do maybe 50% of what we could before. Can't manage the screen of the fridge at all any more. Unhappy."
"August 29, 2021",1,,So much money spent on a fridge and I am now back to writing my grocery list on a post-it note hanging on my fridge. Samsung is not providing any customer service on this issue and instead is replying with the same bs response for every complaint on here. Next time I won't be buying Samsung.
"August 26, 2021",1,2.0,"I'm with the rest of others crapping on the new update. The update took away widgets, shopping list, and now constantly gives unwanted recipe notifications. Not happy with my voice to spend more on a fridge that is not worth the money."
"September 6, 2021",1,1.0,"Tried several times to get smart energy to work but constantly said can't download no error message. Contacted Samsung support OMG what a waste of time that was send you an email you cant respond to you have to to a website and log it all again. Simply not worth the stress uninstall found an app tha...
Full Review"
"August 29, 2021",1,,"Recent update to the Device makes it drop connection and reconnect about 13 times a day according to my notification history. Im using an Ethernet cord but the recent update made it so that i cannot switch from wifi to Ethernet without a full reset, loosing my 15 connected devices and having to set ...
Full Review"
"September 8, 2021",2,,"My Samsung range won't sync time now via the SmartThings app. I've unplugged the range, and even reset its wifi connection. Seems like the latest update broke this functionality."
"September 1, 2021",1,1.0,Terrible upgrade. Not only did my brand new Samsung TV not mirror onto the fridge now this new app rendered everything but the weather completely unusable...very much regret spending this kind of money 8 months ago for a product that I cannot use as I expected to.
"September 19, 2021",1,,The app continually crashes. I have to reinstall it constantly to see the live video. My 3 year old camera and app SmartCam has never given me a problem.
"September 9, 2021",1,1.0,"I don't haveother devices to control! I DO want to upload pictures to my refrigerator, which I can no longer do. I get "" fail to upload"" every time! It used to be easy enough, but now I can't do anything!"
"September 3, 2021",4,,Trying to view smartthings camera crashes the app now! Reinstalled app and it works now. Update 9/3/21 App is crashing again when trying to view the camera. Customer service email doesnt work.
"September 18, 2021",3,,"Useful to have a way to see the serial, but please include model number in the ""information"" for a device. Samsung's support page asks for the model not s/n"
"August 31, 2021",5,6.0,"The evolution of the app over the past 3 years has been awesome. I feel like this is the best home automation for the average person. The community, the price, and integration are great. Highly recommend."
"August 25, 2021",1,2.0,"Every time I go to use the app, it wants me to download an update. Even though I've done it every time I've tried to use it.😒 Now it's just confusing, I don't know how to upload pictures and videos like I did before all of the updates."
"September 17, 2021",5,,"Love the calories count, and Healthy briefing, and the fact I can get other devices connected like blood pressure , and keeps recod on for it as well for glucose and oxygen level when i show my doctor he as a better idea on how I Am doing , just great"
"September 4, 2021",1,,With family hub I was able to transfer my apps from my phone to the fridge after the update and y'all switching to this no count smart things app it took away the apps that I had installed and won't let me re install them or any other apps worthless app needs to go back to the old one
"September 1, 2021",4,1.0,This apps just deleted all my devices for no obvious reason. Still have the location saved but all sensors are missing. Support resolved my issue pretty quickly after posting this review. Modified score back to appropriate.
"September 9, 2021",2,,"Despite having all Samsung devices in my home theater setup, I haven't been able to do anything meaningful with the app. Can't connect to devices to manage."
"September 17, 2021",5,,There is one small issue that the TV controls on Android 9 are showing white while in Dark Mode and we are unable to see the icons. Can send screenshot if required anywhere to be uploaded.
"September 10, 2021",1,,This app is confusing and hard to add items to it. When you finally get it added it never connects even when you check the connections 1000 times.
"August 31, 2021",1,1.0,Not able to view tv on my note 10+ . Earlier it used to work like a charm. Please stop fixing things that aren't broken samsung.
"August 29, 2021",1,,From my Google Pixel I am unable to cast/mirror from my phone. Completely appalled I'm unable to cast. My Sony Android TV was far superior to this Samsung smart tv.
"September 4, 2021",1,,"When I play tv sound on phone it sounds super bad, it was literally working fine yesterday i dont know what happened. I already restarted my phone and uninstalled the app and NOTHING."
"September 1, 2021",5,,"Will update in future. Only had Jetbot for a week, tiny little learning curve but not to bad if you have some idea of tech. I've mapped house and put up no go zones and watched jet bot avoid no go spots. Love the spot clean probably my favorite feature of the app."
"September 1, 2021",4,,It worked fine until recent update casting to my tv. Then it stopped working. But after reading other reviews finally Got it to work after clearing cache and data several times
"September 7, 2021",1,,Screen remains black on TV during mirrorcast. No explanation. No advice. No way to get help from Samsung that I found outside of questionable internett forums. As always with tech companies you are on your own. Hopefully it goes better for you.
"August 26, 2021",1,,"Also disappointed this version of smart things also has knocked out my Screen Mirroring with is one of the major benefits. Please resolve this issue, I have reported this to you twice or three times now."
"September 6, 2021",5,,Love it! People ask what am I doing when I tap my phone on the TV then my phone screen is mirrored on the screen. Simple and easy.
"September 1, 2021",4,,"It took a long time to certify my devices. I finally got my air conditioners working properly w/SmartThings. Hopefully, the Samsung/SmartThings server does not go offline! Keeping fingers crossed;~》"
"August 28, 2021",1,,"if you like seeing a message that says ""a network or server error has occurred"" over and over again; then this app is for you."
"September 2, 2021",1,,Please fix this update. None of my devices are updating the status if something is off/on. It's very annoying.
"September 2, 2021",5,2.0,"I absolutely love this I am able to control my samsung microwave, Dryer and TV's so far so great. I hope they never get rid of this feature"
"September 2, 2021",3,,"This last update was a downgrade. All of the amazing features of my Family Hub are gone. So many of the features I love are going away. Hours and hours spent ""fixing"" issues due to this app update."
"September 10, 2021",1,,"When this app updated, it stopped working with my Samsung Smart TV. And, I can't undo the upgrade to an older version. Boo."
"August 28, 2021",3,,"every couple of months will total died. even power off, cannot fix. have to RESET. so every couple of months, I have to start over, reset and set everything. so painful"
"August 24, 2021",1,4.0,No support for Brave Browser. Needed to enable Google Chrome and then able to login. This is also manageable but the real issue is if later I disabled Chrome then app simply crashes without any proper error message.
