date,user,star,like,comment
2021년 9월 4일,보람,4,,"너무 잘 쓰고 있는데 며칠전부터 TV리모컨 누르면 작동이 안 되면서 ""컨트롤러를 불러올 수 없음""이라는 에러메세지가 표기됩니다. 고칠 수 없을까요?"
2021년 9월 6일,준토,3,1.0,"로봇청소기 제트봇을 금일 설치하였고 다른 기능들은 이상없이 사용중입니다만, 예약 기능이 안됩니다. 어플상에서 시간과 장소를 설정한 다음에 저장을 누르면 로딩후에 곧 바로 리셋되버립니다. 확인 부탁드립니다."
2021년 8월 29일,poly m,4,,티비 말고는 온오프 기능이 없네요. 제가 못찾는건지 뭔지;; 밖에서 건조기 완료됐다고해도 킬수가 없으니 알람 오는거 보기만할뿐 할수있는게 없어요.
2021년 8월 30일,전선애,5,,"요즘 디자인 이쁘게 잘 나왔더라여? 여튼 샘숭이 짱이고 스마트띵스,, 신이만든결과물 아닙니까? 역시 샘송,, 왜 너만 발전하니,,, 난 그대로인데,,,☆"
2021년 9월 10일,전미경,4,,"안녕하세요! 쿠커를 구입해서 연동해서 쓰려고하는데, 쿠커 연동은 되는데 앱내 스마트띵스 쿠킹 프로그램이 깔리지 않습니다ㅠㅠ 큐커 하단에 있는 쿠킹앱을 누르면 홈화면에서 다운받으라 하는데 홈화면에는 다른건 다있는데 쿠킹만 없어요. 원래 앱 업데이트 안하고 쿠킹을 다운받으려 하니 계속 오류가 나서 업데이트를 한건데, 그때 다운된걸로 잘못 인식된건지 자꾸 있지도 않은 홈화면에서 쿠킹을 다운받으라네요. 어플 데이터도 지워보고 어플 자체도 지웠다 다시 깔았는데 똑같습니다.. 혹시 해결방법이 있을까요?"
2021년 9월 13일,주슬기,5,2.0,혼수를 삼성으로다맞춘게 너무좋네요 집밖에서든 집안에서든 어플로 모든가전제품을 제어할수있어서 너무편리합니다!! 감사해요!!
2021년 8월 28일,js k,1,1.0,"큐커 구매하고 바로 밥먹으려했는데, 문제가 구간마다 발생하고 다음화면으로 진행이 안되서 다른앱 연동 하나도 안되고 스킵하는 것도 없어서 한시간째 굶는 중. 점심먹고 설치 시작하시면 저녁은 드실수 있겠네요"
2021년 8월 27일,joo,1,,갤럭시워치4 내워치찾기 기능이용하려고 여러번시도하다가 짜증나서 댓글남깁니다. 네트워크 연결확인하라는 팝업창이 자꾸 떠요 ㅡㅡ 이거빨리개선해주세요
2021년 9월 8일,Seunghyeon Lee,5,,위치찾기 소리울리기 기능 덕분에 이어버드 위치 찾았어요ㅠ 이어버드가 짹짹소리내면서 우는거 너무 귀엽ㅠㅠ 이 기능 만들어주신 삼성 관계자께 감사드립니다ㅠㅠㅠ
2021년 9월 8일,아아아아아아,1,,서브폰으로 로그인을 하려고 하는데 인증을 아무리해도 로그인이 안됩니다. 혹시 원래 삼성 이외의 기기에서는 로그인을 못 하나요?
2021년 9월 10일,Luna Nahm,1,,"매직스크린 설정시, 사진 all select 가 안 된다고?37장쯤 체크 찍다가 이게 뭐 하는 짓인가 싶어 관 둠. 스마트하지 못함."
2021년 9월 3일,Seolhee son,5,,좋아요 여름에 에어컨 밖에서 키고 들어가고 잘 활용중이에요 다만 세탁기 기능설정에 세제 넣고 안넣고 설정도 어플로 됐으면 좋겠어요 할때마다 세탁기에서 설정하는게 참 귀찮아요 ㅜㅜ
2021년 9월 6일,라성운,2,,전에는 연결된 tv를 클릭하면 내 핸폰의 동영상이 검색되어 tv를 통해서 볼 수 있었는데 지금은 이러한 기능이 사라짐!
2021년 9월 2일,소금맛,1,1.0,새폰으로 바꾼이후로 시작화면에서 화면이 어두워졌다 밝아졌다 이러면서 안들어가집니다 리뷰도 썻는데 왜 또 다시 쓰라는지....
2021년 9월 6일,M G,1,,스마트딩스광고도 하고 전력측정 달전기세 측정하는 파워매니저라는 회사 플러그랑 전기측정기가 있는데 매번 서버가 멈춰서 안되네요 복구도 하루종일걸리고 삼성에서 광고하는제품인데 이리 관리가안되서야 감당안되는회사제품은 광고 빼시던지
2021년 9월 15일,김반항,1,,플립2 워치3 사용하다 플립3로 바꾸고 워치3다시 연결하니 워치에 위젯이 사라졌는데 지웠다 깔아도 없고 왜이런건지 궁금하네요??
2021년 9월 7일,FANG MINGGEN,2,,"입이오류난거 같습니다 사용기록이 없어지고 재사용해도 기록이 남지가않아요,? 어덯게 해야하나요?"
2021년 9월 8일,최혜림,5,,편리하고 좋은데 다른건 다되는데 왜 스탠드에컨 절약모드(24시간까지 설정하는거)가 업뎃이후로 안될까요?
2021년 9월 5일,Scholes Paul,3,2.0,작성글 왜 계속 삭제되나요? 한 번 더 삭제시 공론화합니다. 인덕션 원격제어로 끄거나 화력 줄이는 것 왜 안 되는지 명확한 이유 부탁드립니다. eu 기준이라 얼핏 들었는데 여기 eu 아니고 그리고 타사의 경우 지원하는데 왜 안 되는지 모르겠네요.
2021년 8월 27일,tk b,2,,잘되다 울트라21 로넘어오면서 무한로딩이네요... 지우고 다시깔고 다시 지우고 추가해봐도..
2021년 8월 30일,로미찌,4,,지금 9월인데 8월에너지사용량만 계속 뜨고 8월부터 멈추기시작하더니 에코모드도 실행이 안되고있어요 어떻게 해야하나요ㅜㅜ?
2021년 9월 16일,마요,5,,블루투스 연결되어있을때 전환하기 완전편해요~! 그거말곤안쓰지만ㅋ
2021년 9월 17일,전유정,5,1.0,여름엔 에어컨 미리겨둘수있어서 좋구요 강아지때문에 리모컨이 뿌서져서 대신하여 동작하는데 완전 편합니다
2021년 8월 27일,jack,5,,에어컨 온도 조절방식을 버튼식으로 했으면 합니다. 슬라이딩 방식은 온도셋팅이 불편합니다
2021년 8월 26일,GYEONG JUN HONG,5,,집안에 삼성 제품이 많으면 빅스비로 콘트롤 가능해서 나름 편리합니다. 리모콘을 안쓰게 됨.
2021년 8월 26일,SeungHun Lee,5,,넘 편리하고 좋아요. 삼성제품 서용하는 사람들에게는 이보다 더 좋은 관리 어플은 없을것 같습니다
2021년 9월 16일,정은주,1,,아니 왜 제 리뷰 삭제하시나요? 정확한 답변을 주셔야죠!!!! 갤럭시 홈미니 사용자입니다. 블루투스도 안되고 멜론 이나 다른 음악앱 사용자도 아니구요 유튜브로 구독 사용자인데 왜 유튜브는 호환 안되나요 기능 좀 추가해주세요!!!!!!!! 너무 불편해요
2021년 9월 16일,이승학,3,,"모두 좋은데 Mile 도어록이랑 SK Magic 전상품 , Ip tv 리모컨 중에서도 Btv, 선풍기는 신일, Lefel 선풍기, iloom 전제품과 호완이 되면 좋겠어요."
2021년 8월 29일,Giovanni Hyun,3,,z플립3로 기기변경한 뒤부터 10번 실행하면 7번은 멈춰서 꺼집니다. 저만 그런게 아니라 주변에 z플립3 쓰는사람 대다수가 그럽니다
2021년 8월 30일,이름,1,,Z플립쓰면서 버즈프로 쓰는 갤럭시 유저인데 혹시나 버즈프로 잊어버릴 수도있으니 다운로드 하려니까 만 14세 미만이라고 안된다고 하는데 그냥 전체로 해주심 안되나요 이게 뭐 선정성 폭력성이 있는것도 아닌데 왜 만 14세 이상부터 할 수 있는지 모르겠네요
2021년 8월 28일,남궁제희,1,3.0,뭐야....더 이상하게 바꼈어..... 패밀리허브 냉장고쓰는 데 업데이트하더니 이상해. 더 복잡해. 괜히 업데이트하고 괜히 삼성꺼 샀어. 기능이 좋아보여서 샀는데 기능이 후퇴했음.=.= 누가 이렇게 만들었을까? 다음에는 삼성꺼 안삼.
2021년 8월 30일,카오토크,1,,어제만해도 괜찮았는데 오늘 갑자기 셋업박스에서는 지원이 되지않는다는 이유는 무엇인가요??
2021년 8월 25일,지태헌,1,12.0,앱 이전 버전으로 돌려놔라. 머만했다하면 되다가 오프라인이냐. 기기등록을 수십번 했다. 더이상은 못해먹겠으니 이거 업데이트 한 직원은 징계위원회 정직이나 감봉때려야 마땅하다. 멀 도대체 안정화를 시킨건지 1도 모르겠다.
2021년 9월 8일,_연쥬,3,,건조기 스마트 컨트롤 기능을 많이 사용하는데 알람이 떠서 알람을 누르고 들어가면 항상 연결안됨이 뜨고 나가서 다시 앱을 들어가야 연결이 된 상태로 뜹니다.... 별거 아닌거같았는데 계속 쓰면쓸수록 번거롭네요 연결 오류날때도 많고요
2021년 8월 29일,안지혜,1,,지도확대도 너무 한정되고 실행도 느리고. 많이 짜증나요
2021년 9월 18일,내사순,2,16.0,"패밀리허브, 전처럼 폰으로 메모를 남겨둘 수있는 기능 사라졌나요? 외부나와서 냉장고에 가족들한테 메모남기기 편했는데"
2021년 9월 11일,김기태,1,3.0,"s21 울트라로 변경하고 블루투스가 간헐적으로 끊깁니다 차량 3대 블루투스이어폰도 4가지 다 동일증상입니다 네트워크초기화.어플 삭제,초기화다해봤는데 결국은 이 어플이 문제였습니다. 개선의여지가 분명해보입니다 일주일동안 개고생했어요"
2021년 9월 13일,tos RO,3,,잘사용하다가 최근 연결끊김 버퍼링현상이 지속됩니다
2021년 8월 30일,김영미,5,,"등록할 수 있는 기기는 편하게 알림을 해줘서 좋은 데 신규입주한 아파트에 빌트인 된 시스템에어컨, 식기세척기, 냉장고, 전기오븐은 등록이 안되네요."
2021년 8월 30일,riri,5,25.0,리모콘 사라졌을때 아주 유용합니다👍 저는 제자리에 둬도...애들이 갖고 가서 어딘가 두면 더워죽겠는데 리모콘 찾다 진땀 다빼고 뚜껑열리기 일보직전인데... 이 어플 알고부터는 그냥 일단 앱으로 작동하고 천천히 리모콘 찾습니다ㅎㅎ 깜박하고 안끄고 외출했을때도 유용하고..집에 들어가기 직전에 미리 켤수있어서 좋네요^^
2021년 9월 12일,nevertheless,1,5.0,샤오미 스마트 전구 사용중인데 잘 안되네요. 색 온도 조절하는데 왜 갑자기 빨간색빛으로 바뀌고 밝기 조절하는데 밝기50로 설정했는데 10정도의 매우 어두운 밝기로 나오고 지맘대로예요. 색상제어도 제가 선택한 색이 아닌 지맘대로 골라서 내보내네요. 최신형 에어컨을 샀는데 어플에 등록 후에 제어해볼까했는데 에어컨 가동중임에도 불구하고 연결이 안되네요. 어플 삭제.
2021년 9월 13일,앙하고물어쩌,1,,갤럭시 노트9 KQ55QT80A 스크린 연결이 안됩니다. 해결방법을 알려주세요
2021년 9월 8일,이뚫좋,1,1.0,"앱 반응 속도가 너무 느리고, 에어컨이 꺼져있는데 앱에는 켜져있다고 나옴. 답변은 모르겠으니 로그나 보내라고 하겠죠... 이런 기본기능 문제는 당사 검증부서에서 안걸러지나요? 그냥 알아서 좀 해결 해줍시다"
2021년 9월 8일,이제상,4,,연동이 쉽고 앱이 직관적이라 사용하기 편합니다
2021년 9월 7일,윤성렬,5,,"응애 나 갤구유저 삼성는 다목적기업이지만 한쿸말는헐줄아시져?🤗 1. DeX전용WINE왜 안멩그냐 사람들가 은근DeX쓰는목적알거아니냐 2. emoji어따갖다써야할지몰러서 여따쓰는건데 제가 물괴기공포증심해서 물괴기터치조차 헐수없는 심한 물괴기공포증입니다 삼성전용2모G만이래두 복어, 상어, 그냥물괴기(...),새우, 랖스따~,곶개등등 갑각류 물괴기만큼는 리얼리티 퐠죽여서 젭라2D로 그렇게 내주세요 젭라 진짜 터치못해 터치펜 끌구올정도입니다 3. 아니 일본어 언제지원해줄거냐 나가 떠쨖왜구냐험 떠쨖왜구맞구 일본사람이랑 5초이내 간략한 회화...
전체 리뷰"
2021년 9월 15일,산이가오,1,1.0,에어컨 리모컨이 고장나서 유용하게 잘 사용하고있었습니다.허나 업데이트인지는 모르겠지만 그 후엔 무한 로딩중이네요... 신속히 해결 바랍니다. 참고로 어플 계속 지우고 설치하고 있습니다.
2021년 9월 16일,황용미,1,1.0,업데이트 후 그동안 주로 활용하던 화면 미러링 기능이 먹통입니다. 앱 삭제후 다시 설치해도 안되요. 이 기능 빨리 복구해주세요!!
2021년 9월 17일,brown hong,1,1.0,자꾸오프라인으로 바뀌네요 오래전부터그러는데 아직도 오류를 못잡고 있네요 의지가 없으신듯 개발자면 금방알수 있는데 ㆍ ㆍ
2021년 9월 17일,다푸른매화,2,15.0,"업데이트 후 전체 디바이스 오프라인 되어있으며 아무런 동작 안하네요. 티비나 사운드바등 들어가면 전원, 인터넷 연결등 확인하라는데, 모두 정상인상태에서 몰해야될지 모르겠네요"
2021년 9월 12일,정규식,1,,네트워크오류가 자꾸 떠서 앱을 삭제 후 다시 설치해서 사용하려는데 2단계 인증에서 인증코드를 넣어도 계속 오류가 나고 인증번호가 계속 날아오다가 전화통화로 인증번호 받아서 입력해도 오류가 납니다
2021년 9월 19일,문경현,5,,약간의 오류가 있지만 그래도 너무편리합니다 ㅎㅎ
2021년 9월 2일,김민수,4,,아주 편한 기능이네요 사운드바에 올려만놔도!
2021년 9월 2일,여동빈,3,3.0,360 카메라 보려고만하면 앱이 강제종료 됩니다. 앱 다시깔면 며칠만 제대로 되구요. 재설치할때마다 매번 디바이스 정렬하기 번거로워서 불편합니다.
2021년 9월 7일,취운,4,,"샤오미 이라이트 사용하고있습니다. 스마트씽즈로 한번에 모아서 관리한다는 점에선 너무너무 좋은, 혁명적인 어플이라 생각되는데, 반응이 네이티브 앱보다 많이 느려서요, 개선될 여지가 있는 부분인지, 어쩔 수 없는건지 궁금하네요 ㅠㅠ 빨리 개선되면 더더욱 좋을거같습니다"
2021년 9월 8일,soohyun choi,5,,정말 편리합니다. 삼성에 올인한거 절대 후회 안해요
2021년 8월 28일,MW L,2,,계속 오류가 있어 재설치 할려고 어플삭제후 재설치 했는데 삼성패스랑 삼성페이까지 같이 삭제되게 설정되어있어 엄청 난감하고 어이없었음
2021년 8월 31일,시고르자브종 sigorzavjong,1,16.0,24시간 가동 중인데도 시간별 사용량 0으로 확인 됨. 실시간으로 확인이 안되니 돌아버릴 지경. 몇 차례 문의하기로 보내도 확인이 안된다는 답변만 받음.
2021년 8월 26일,똥도 이쁜 내새끼,3,,켜고끄기말고 온도조절이라도 추가되면 좋겠네요
2021년 9월 19일,단호박,4,1.0,잘 쓰고있어요~ 에어컨 자동 오프예약 설정(취침예약)기능도 추가되면 좋겠어요
2021년 8월 22일,오아란,5,1.0,밖에서 집에 들어 올 때 그 때가 제일 유용해요. 특히 집 들어오기 5분전부터 스마트띵스로 에어컨 틀어 놓고 집에 들어 오면~~ 어후...아주 좋아요.^^
2021년 8월 24일,이지훈,1,,졸라 웃김. 기기는 오프라인이라면서 화면 미러링은 됨. ㅡㅡ
2021년 8월 24일,육현수,2,2.0,"갑자기 2년동안 잘쓰던 기기들이 오프라인 상태네요. 냉장고를 제외한 스텐드 에어컨,벽걸이 에어컨, 티비 등등 ."
2021년 8월 25일,DY J,4,,며칠전부터 갤럭시홈미니 모든 스피커 방송이 안됩니다
2021년 9월 19일,J,5,5.0,잘 이용하고 있습니다. 실시간으로 전력량 확인 가능하고 원격으로 조종할 수 있으니 너무 편하네요. 에어컨 사용 시간도 확인할 수 있으면 좋겠어요.
2021년 8월 26일,낙천인j,1,2.0,이건뭔지..스맛뷰는 바로 적용되는데 스맛띵은 멈춘다? 접속시도는 같은거 아닌가요? 뭘해야하는지..스맛뷰에는 리못트하라하고 쓸꺼면 통합해서 하나로 하셈 lg는 안그런데 pz
2021년 8월 27일,Min Moo,5,1.0,"완전편리해요^^ 에어컨, 냉장고, 공기청정기, 건조기~~~ 폰으로 제어하고 실행하고 좋아요^^"
2021년 8월 23일,강경석,5,,편합니다. 야외에서 컨트롤도 잘되고!
2021년 8월 24일,강복구,5,,삼성지원 제품으로 통일하면 개편합니다^^ 갤럭시 홈미니 짱짱맨
2021년 9월 11일,믹나공작소,5,,폰을 티비로 미러링할때 잘 사용하고 있습니다^^
2021년 9월 13일,996,5,,정말 잘 쓰고있고 이덕에 추가 가전은 다 비스포크로 함
2021년 8월 22일,김형섭,1,,사용법 검나어려움.. 삼성폰아니면 사용못하는듯함 30분째씨름하다 빡쳐서지움
2021년 8월 24일,JY,1,,티비 리모컨 조정하려면 자주 응답중지 됩니다
2021년 8월 11일,허건회,4,,TV로 유튜브 검색시 핸드폰 키보드로 검색가능해졌으면 좋겠습니다. 리모컨 키보드 너무 불편해요
2021년 8월 24일,조채봉,4,,간편하고 큰불편함없고 잘쓰고있어요
2021년 8월 25일,Hundae Ha,5,,스마트기기 변경이 너무 번거롭다 더 쉽게 변경하는법을 추가했으면한다
2021년 8월 26일,라라,1,,여태 잘 쓰규 있었는데 업데이트 이후로 무한 로딩이에요ㅠㅠ저만 그런게 아닌거 같은데 빨리 해결해주세요
2021년 8월 27일,진규천,5,,다 좋은데 TV를 핸드폰으로 조종하려는데 자꾸 현재 모드에서는 지원하지 않습니다가 떠요 이건 어떻게 해결 해야되죠?
2021년 8월 11일,죽어도자유,5,,10리 밖에서도 조작가능 확실히 편함
2021년 8월 12일,한길,5,,쉽게 상태표시줄에서 오디오설정할 수 았는거 외에는 기능을 쓴적이없음
2021년 9월 14일,햇볕,5,,드럼세탁기.건조기 사용하는데 시간확인할수고 끝나면 알림 오니 이게 제일 큰장점이에요.
2021년 9월 17일,늘행복한맘,3,,다좋은데 에어컨 시간예약만 좀 됐으면 좋겠어요. 시간예약되면 별이 5개!!!ㅎㅎㅎ
2021년 8월 11일,스튜핏,2,,업데이트 이후 에어컨 온 오프는 되는데 세부설정에서 무한로딩걸리네요 지우고 다시깔아봐도...
2021년 8월 12일,보라빛향기,5,,완전좋음. 원격수업 때문에 혼자있는 아이가 어려워할때 회사에서도 넘나잘됨.
2021년 8월 16일,권영민,5,,집이 아닌 곳에서도 작동이 되니 편한 하네요
2021년 8월 17일,안태우,5,,가전제품 중 삼성제품이 많으면 많이 유용합니다
2021년 8월 23일,Jeonhyeon C,5,,너무 좋아요~~ 퇴근하면서 공기청정 해줬을때 집에 도착 해서 신선한 공기 마시면 지옥철의 불쾨감이 사라져서 좋아요~
2021년 8월 24일,JAEKYEONG KO,1,,다좋은데 실외 공기 질 나쁘다고 10분마다 알람 뜨는거 그것좀 어떻게 안되겠어요?? 이건 개선을 해줘야 할것 같네요
2021년 8월 11일,Bluedot,3,,써드파티는 연결 인식이 잘 안될때가 있다.
2021년 8월 12일,지은다람,1,,에어컨전원만켜지고 조절하려고 들어가니 화면이 안떠요 삭제하고 했는데도 안떠요ㅠ
2021년 8월 11일,문영환,3,,SBS 라디오 갑자기 안되네요.
2021년 8월 12일,배쩡이,5,,요즘같이 더운날 밖에서 미리 에어컨을 조정하고 귀가할수 있다는게 너무 좋네용^^
2021년 9월 14일,SN K,1,,에어컨 시간별 오류가 생겨요 잘 나오다 간혹 중간중간 시간별 전력이 0을나와요
2021년 9월 2일,Min Yeong Kang,1,,아 smartthings 인거 알겟다고요.... 로고만 뜨고어플이 안켜져요ㅡㅡㅠㅠㅠㅠㅠㅠㅠㅠ
2021년 8월 15일,카이드럼스튜디오_KaiDrumStudio,5,,동작이 좀 느린거빼고는 아주맘에들어요ㅎㅎㆍ
2021년 8월 17일,최종인,5,,위치 찾기 기능이 있어서 안심됨
2021년 8월 15일,WILLY CHANG,1,,이거 되는거 맞나요?? 계속 네트웍연결에 문제있다고 하고 연결이 하나도 안되요
2021년 8월 17일,유호성,5,,사용이 편리하고 리모컨을 찾지않아도 되니 너무 좋으네요
2021년 9월 8일,제니퍼,4,,유용하긴 한데 우리집 위치 설정할때 지도 좀 업데이트해주세요. 저희집 주소가 안뜨네요 ㅠㅡㅠ
2021년 8월 16일,주중재,3,,"말해 뭐해... 있으면 좋고, 없어도 딱히... 기능은 단순하게..."
2021년 8월 5일,Google 사용자,4,,좋은데 흔히쓰는 타사 제품 접기가 힘드네요 지원이 안되는건지
2021년 8월 6일,김수진,3,,앱이 직관적으로 되어있지 않아 사용하기 복잡하네요
2021년 9월 17일,js lee,3,,삼성에어드서 열때마다 지역과 위치를 선택하라고 자꾸 나오네요
2021년 8월 25일,정은미,1,,연결이안되네요 계속 튕겨지네요
2021년 8월 26일,김지희,5,,언제 어디서나 간편하게 혹시 커놓고 출근했나걱정돌때도 수시확인가능 짱
2021년 8월 15일,Kevin Yeon,5,,최신기기는 연결도 쉽네요. 잘쓰고 있어요
2021년 8월 25일,이안영,4,,편리해요 다만 가끔 네트워크연결이 안될때가 있어요
2021년 8월 25일,오드리밥통,5,,"에어컨 티비 김냉 세탁기 역시 안되는게없는 삼성👍 사용량,멀티컨트롤등 크~~넘편리해용 스마트계의 신이다신ㅋ"
2021년 8월 11일,DoYoung Kim,1,,연동후 에어컨 부서짐. 수리비 소비자 책임. 쓰라고 만들고 이걸로 고장나면 사용자 책임 정상인가...
2021년 8월 11일,유정환,4,,사용상 편하네요. 시스템 에어컨 꺼짐 예약도 가능하게 해주세요
2021년 8월 27일,빙그레바나나우유,5,,버즈2 케이스 배터리 잔량은 어떻게 확인 할 수 있나요~?
2021년 8월 30일,박윤민,5,,삼성 제품 다같이 온라인 관리가 가능 해서 너무 좋아요
2021년 8월 8일,한영호,3,,한번씩 자동청소기능이 off되어있는데 그래도 편함
2021년 8월 15일,DONGGEON LEE,4,,굳굳 연동성관리 좋아요. 다만 광고 딥빡 ㅡㅡ
2021년 8월 17일,김갱,5,,삼성이라면 이 기능을 꼭 써야합니다! 삼성 만세!
2021년 8월 18일,mize choi,5,,"좋아요, 핸드폰으로 디바이스들을 제어하는게 너무 편리합니다."
2021년 9월 1일,hanmi Kim,5,,빨래나 건조를 돌려놓고 외부에 있어도그 상황을 알수 있어서 좋아요
2021년 9월 2일,qb qb,5,,갤럭시워치4 에서 동기화 계속안되네요
2021년 8월 31일,김응대,5,,사용하기 편해요..리모컨 찾으러 안다녀도 되고~~
2021년 9월 9일,최현배,5,,잘쓰고있어요 집에 들어가기전에 에어컨키거나 리모컨 찾기 구찮을때ㅋㅋ
2021년 9월 15일,서울아재,5,,편하고 유용하게 잘쓰고 있습니다^^
2021년 9월 14일,김재영,5,,삼성의 모든 제품을 내손에서 컨트롤 할 수 있습니다.
2021년 9월 15일,배지현,1,,스마트 쿠킹이 전혀 다음 단계로 넘어가지 않아요
2021년 8월 15일,최진희,4,,에어컨잡는게 어려웠지만 사용하기는 좋네요
2021년 8월 17일,김현중,5,,유연하게 잘 쓰는 중 !
2021년 9월 18일,Google 사용자,5,,작동 잘 되고 좋아요
2021년 8월 30일,조영주,5,,사용하기편리하게 잘나왔다요
2021년 8월 16일,육아부지,5,,리모컨대신쓸수있어서 완전 편리함
2021년 8월 17일,2 Cetaphil,1,16.0,2021년 구매한 무풍 에어컨이구요 저희집 인터넷 잘되고 전원도 잘 꽂혀있어요! 에어컨 역시 가동잘돼요. 이틀전까지만해도 어플도 구동 잘되다가 오프라인이니 뭐니 하면서 안되네요 참고로 제 폰은 노트20울트라입니다. 이 정도면 제가 갖고 있는 모든 것들은 짱짱한데 어플이 문제네~~~~ LG 어플보다 못하네요^^ 개발자분들 휴가 가셨나요? 거기 시원한가요? 에어컨 빵빵해요? 열대야인데 저는 떠죽게 생겼네요~ 아 덥다 밤 열두시에 잠도 못자고 ~~~~~ 스마트띵스는 무슨 얼어죽을 ㅋ 바보 띵스네 ㅋㅋ 일정예약 누르면 에러떠요
